stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
242,,Köln Schaffrathsgasse,,50.971539,6.870172,,,0,,
243,,Köln Walter-Pauli-Ring,,50.937193,6.994796,,,0,,
244,,Köln Willi-Lauf-Allee,,50.925870,6.860942,,,0,,
245,,Köln Subbelrather Str./Gürtel,,50.954670,6.921234,,,0,,
246,,Köln Nußbaumerstr.,,50.956997,6.923586,,,0,,
247,,Köln Lenauplatz,,50.958558,6.918322,,,0,,
248,,Köln Heinrich-Erpenbach-Str.,,50.869054,7.006342,,,0,,
249,,Köln Iltisstr.,,50.965215,6.912019,,,0,,
250,,Köln Butzweilerstr.,,50.968785,6.916417,,,0,,
251,,Köln Venloer Str./Gürtel,,50.950166,6.916705,,,0,,
252,,Köln Eichenstr.,,50.927072,6.868602,,,0,,
253,,Köln Geisselstr.,,50.943452,6.916573,,,0,,
254,,Köln Weinsbergstr./Gürtel,,50.945118,6.912721,,,0,,
255,,Köln Leyendeckerstr.,,50.954426,6.909943,,,0,,
256,,Köln Borsigstr.,,50.958706,6.905102,,,0,,
257,,Köln Bf Deutz/Messeplatz,,50.941888,6.973184,,,0,,
258,,Köln Oskar-Jäger-Str.,,50.945352,6.906920,,,0,,
259,,Köln Karnevalsmuseum,,50.945996,6.898082,,,0,,
261,,Köln Weiden Zentrum,,50.938239,6.835035,,,0,,
262,,Köln Rochusplatz,,50.956736,6.903000,,,0,,
263,,Köln Alter Deutzer Postweg,,50.919100,7.049930,,,0,,
264,,Köln Akazienweg,,50.961238,6.892711,,,0,,
265,,Köln Wilhelm-Mauser-Str.,,50.956209,6.892116,,,0,,
266,,Köln Häuschensweg,,50.961000,6.901460,,,0,,
267,,Köln Feltenstr.,,50.962924,6.900288,,,0,,
268,,Köln Emilstr.,,50.966394,6.897864,,,0,,
269,,Köln Erlenweg,,50.968300,6.895523,,,0,,
270,,Köln Mühlenweg,,50.970464,6.891094,,,0,,
271,,Köln Ossendorf,,50.976887,6.904502,,,0,,
272,,Köln Rektor-Klein-Str.,,50.974189,6.904649,,,0,,
273,,Köln Margaretastr.,,50.968232,6.905501,,,0,,
274,,Köln Alter Flughafen Butzweilerhof,,50.977598,6.897453,,,0,,
275,,Köln Hugo-Eckener-Str.,,50.977558,6.890931,,,0,,
276,,Köln Bleriotstr.,,50.974178,6.890881,,,0,,
277,,Köln Von-Hünefeld-Str.,,50.977303,6.885416,,,0,,
278,,Köln Mathias-Brüggen-Str.,,50.982924,6.885053,,,0,,
280,,Niederkassel Lülsdorf Nord,,50.836321,7.009726,,,0,,
281,,Niederkassel Lülsdorf Schulzentrum,,50.832440,7.025981,,,0,,
282,,Köln Wolffsohnstr.,,50.965147,6.884558,,,0,,
283,,Köln Westfriedhof,,50.967450,6.878480,,,0,,
284,,Köln Lacher Broch,,50.958409,7.041023,,,0,,
285,,Köln Kolkrabenweg,,50.964595,6.879209,,,0,,
286,,Köln Steinkauzweg,,50.963403,6.875087,,,0,,
287,,Köln Bachstelzenweg,,50.961168,6.872213,,,0,,
288,,Köln Goldammerweg,,50.957986,6.873363,,,0,,
289,,Köln Vogelsanger Markt,,50.955615,6.881459,,,0,,
290,,Köln Falkenweg,,50.955534,6.885030,,,0,,
291,,Köln Bocklemünd,,50.969371,6.872822,,,0,,
292,,Köln Wdr,,50.969992,6.856860,,,0,,
293,,Köln Grevenbroicher Str.,,50.972793,6.865924,,,0,,
294,,Köln Nattermannallee,,50.975659,6.858858,,,0,,
295,,Köln Dohmengasse,,50.980593,6.857796,,,0,,
296,,Köln Kochwiesenstr.,,50.963617,7.049766,,,0,,
297,,Köln Auweilerweg,,50.986959,6.858768,,,0,,
298,,Köln Ollenhauerring,,50.975909,6.871193,,,0,,
299,,Köln Nüssenberger Str.,,50.976926,6.865004,,,0,,
300,,Köln Börnestr.,,50.979864,6.865230,,,0,,
301,,Köln Heinrich-Mann-Str.,,50.983307,6.865209,,,0,,
302,,Köln Buschweg,,50.984665,6.860221,,,0,,
303,,Köln Neusser Str./Gürtel,,50.972326,6.951354,,,0,,
304,,Köln Florastr.,,50.965035,6.953611,,,0,,
305,,Köln Lohsestr.,,50.958091,6.955248,,,0,,
306,,Köln Nordstr.,,50.967818,6.953027,,,0,,
307,,Köln Leipziger Platz,,50.966474,6.955719,,,0,,
308,,Köln Niehler Str.,,50.967545,6.958858,,,0,,
309,,Köln Kretzerstr.,,50.966985,6.963502,,,0,,
310,,Köln Bergstr.,,50.973491,6.946281,,,0,,
311,,Köln Sechzigstr.,,50.958248,6.944761,,,0,,
312,,Köln Merheimer Platz,,50.957919,6.949864,,,0,,
313,,Köln Zoo/Flora,,50.957376,6.973280,,,0,,
314,,Köln Boltensternstr.,,50.962390,6.980944,,,0,,
315,,Köln Slabystr.,,50.966582,6.988121,,,0,,
316,,Köln Kinderkrankenhaus,,50.963223,6.968392,,,0,,
317,,Köln Amsterdamer Str./Gürtel,,50.970840,6.969106,,,0,,
318,,Köln Bodinusstr.,,50.961461,6.973821,,,0,,
319,,Köln Riehler Gürtel,,50.964647,6.976607,,,0,,
320,,Köln Seniorenzentrum Riehl,,50.967724,6.979476,,,0,,
321,,Köln Kleingartenanlage Ostheim,,50.922377,7.032240,,,0,,
323,,Köln Xantener Str.,,50.966187,6.968681,,,0,,
325,,Köln Geldernstr./Parkgürtel,,50.968471,6.941239,,,0,,
326,,Köln Escher Str.,,50.964566,6.933786,,,0,,
